id,trust,threat,age,male,education,income
748,6,0,26,1,1,0
749,4,0,42,1,8,3
750,8,0,33,0,4,1
751,7,0,51,1,4,3
752,8,0,32,0,4,1
753,3,1,22,1,0,1
754,5,0,50,0,10,0
755,6,0,51,1,5,3
756,6,0,32,0,9,2
757,6,0,47,0,4,0
758,7,0,39,1,9,1
759,4,1,17,1,1,0
760,3,1,25,1,6,1
761,7,0,66,1,4,2
762,6,0,28,0,9,1
763,8,1,28,1,4,2
764,8,0,22,1,4,1
765,8,0,37,0,4,2
766,5,0,51,0,4,2
767,9,0,41,1,10,2
768,10,0,67,0,5,1
769,8,0,44,1,9,2
770,6,0,41,0,4,1
771,8,1,20,0,3,1
772,5,0,32,1,6,2
773,1,0,44,1,4,1
774,9,0,42,1,4,1
775,5,0,36,0,1,0
776,7,0,17,1,1,0
777,8,0,62,1,10,3
778,9,0,53,0,5,3
779,8,0,22,1,4,1
780,6,0,36,0,4,2
781,6,0,54,1,4,3
782,8,0,51,0,9,3
783,9,0,39,1,9,3
784,3,1,52,1,4,2
785,6,0,46,0,4,1
786,7,0,22,1,4,1
787,6,0,58,1,6,3
788,10,0,43,0,6,0
789,5,1,15,0,0,0
790,8,0,44,1,4,3
791,6,0,47,0,2,1
792,8,0,20,0,1,0
793,6,0,38,1,10,3
794,0,0,47,1,4,3
795,0,0,45,0,5,0
796,0,1,22,1,1,2
797,3,0,15,0,1,0
798,9,0,73,1,8,1
799,3,0,37,1,4,1
800,0,0,40,0,1,0
801,5,0,27,1,10,2
802,7,0,19,1,1,0
803,3,0,54,0,6,2
804,10,0,51,1,5,1
805,5,0,47,0,4,1
806,7,0,69,1,5,0
807,8,1,39,1,4,2
808,9,0,43,1,10,3
809,10,0,43,0,6,1
810,8,0,54,1,5,3
811,7,1,41,0,7,2
812,8,0,41,1,6,3
813,6,0,54,0,10,3
814,9,0,43,1,10,3
815,5,0,60,0,7,1
816,4,0,46,1,10,3
817,8,1,56,1,6,3
818,10,0,55,0,5,0
819,6,0,39,1,4,3
820,9,0,66,1,10,1
821,7,0,57,0,5,1
822,8,0,33,0,10,1
823,3,0,25,1,6,3
824,0,0,60,0,4,1
825,6,0,42,1,10,3
826,5,0,44,0,6,2
827,5,0,68,1,7,0
828,9,0,43,0,1,0
829,8,0,47,1,0,1
830,8,0,46,1,1,1
831,4,0,22,1,5,0
832,8,0,44,1,10,3
833,7,1,44,0,10,1
834,7,0,47,0,1,0
835,0,1,33,0,8,1
836,3,0,50,0,3,1
837,5,0,51,0,5,1
838,3,0,63,0,5,0
839,5,1,47,1,7,3
840,5,0,30,1,6,1
841,2,0,20,1,6,1
842,7,0,47,1,5,2
843,9,0,42,0,4,0
844,8,0,57,0,4,3
845,4,0,19,1,1,0
846,8,0,46,0,4,1
847,8,0,44,1,10,1
848,7,0,36,1,10,1
849,8,0,54,1,9,3
850,0,0,44,1,4,1
851,7,0,40,1,6,3
852,9,0,39,0,6,0
853,8,0,53,1,6,0
854,8,0,50,0,6,0
855,8,0,49,1,3,3
856,6,0,19,1,0,0
857,8,0,49,0,8,2
858,5,0,15,1,0,0
859,7,0,57,1,4,2
860,0,0,20,0,6,0
861,8,1,56,0,5,1
862,4,0,17,0,1,0
863,5,1,32,1,5,2
864,7,1,53,1,10,3
865,5,0,51,0,9,0
866,3,1,19,1,0,1
867,5,0,42,0,4,1
868,7,0,16,0,1,0
869,5,0,77,0,6,0
870,7,0,52,0,10,3
871,8,0,52,0,4,2
872,1,0,59,0,1,0
873,2,1,23,1,6,1
874,6,0,52,0,10,0
875,5,0,24,1,10,0
876,0,0,21,1,6,1
877,7,0,40,0,10,2
878,6,0,40,1,9,3
879,10,0,40,0,5,1
880,4,0,38,1,10,3
881,6,0,31,0,10,1
882,7,0,57,1,8,1
883,8,0,57,1,4,3
884,4,0,51,0,8,2
885,3,0,20,0,6,0
886,7,0,54,1,10,3
887,6,0,49,0,5,1
888,6,1,26,1,1,0
889,4,0,23,0,4,0
890,8,0,30,1,3,2
891,8,0,40,1,6,3
892,7,0,49,0,6,2
893,5,0,46,1,4,2
894,3,0,65,0,4,0
895,8,0,35,1,4,3
896,6,0,31,0,4,0
897,6,0,44,1,9,2
898,6,0,43,0,4,1
899,5,0,63,1,9,3
900,7,0,46,0,8,0
901,8,0,62,0,6,1
902,7,0,58,0,2,1
903,8,0,29,0,6,1
904,9,0,51,1,10,3
905,9,0,47,0,4,2
906,1,0,57,0,4,1
907,10,0,38,0,10,1
908,8,0,35,1,10,3
909,9,0,53,0,10,3
910,7,0,53,1,5,3
911,7,1,41,0,10,2
912,7,0,39,1,10,3
913,6,0,44,1,9,3
914,7,0,53,1,10,3
915,9,0,37,1,6,1
916,0,1,39,0,5,1
917,5,0,33,1,8,3
918,4,0,62,0,1,0
919,5,0,62,1,10,3
920,7,0,60,0,10,2
921,6,0,32,1,10,3
922,7,0,25,0,10,0
923,9,0,43,1,10,3
924,10,0,38,0,10,2
925,10,0,42,1,10,3
926,4,0,41,0,10,3
927,7,0,40,0,8,2
928,5,0,25,0,3,0
929,6,0,36,0,4,1
930,8,0,52,0,5,1
931,7,0,25,0,1,0
932,8,0,40,0,4,2
933,8,0,67,1,10,0
934,7,0,62,0,8,0
935,6,0,52,1,9,1
936,6,0,50,0,10,3
937,5,1,53,1,7,3
938,6,0,53,1,4,3
939,3,0,22,0,5,1
940,10,0,19,0,6,0
941,7,0,64,1,10,3
942,7,0,35,0,10,1
943,5,0,57,1,10,0
944,5,1,56,0,5,2
945,7,0,28,1,10,0
946,5,0,61,1,4,3
947,2,0,32,1,4,2
948,9,0,41,1,10,2
949,6,0,17,1,1,0
950,5,0,15,0,1,0
951,7,0,46,1,7,3
952,10,0,51,0,10,2
953,7,0,62,0,8,1
954,7,0,66,1,8,0
955,8,0,64,0,6,0
956,7,0,54,1,4,3
957,5,0,42,0,10,1
958,10,0,52,0,1,1
959,6,0,33,1,10,2
960,6,0,50,1,1,2
961,4,0,46,0,1,1
962,2,0,19,1,6,0
963,5,0,74,1,10,0
964,8,0,44,1,8,3
965,5,0,39,0,4,0
966,6,0,60,0,4,2
967,2,0,42,1,6,2
968,5,0,37,0,4,1
969,6,0,17,0,1,0
970,7,0,49,0,5,1
971,2,0,19,0,6,0
972,8,0,42,0,4,1
973,5,1,19,1,1,0
974,6,0,53,0,10,3
975,6,0,24,1,1,1
976,6,0,50,0,5,1
977,6,0,16,1,1,0
978,8,0,57,1,4,3
