"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"258","Jordan Goodwin","G","WAS",24,62,22,40,1105.4,407
"259","Isaiah Hartenstein","C","NYK",24,82,47,35,1628.2,406
"260","Andre Drummond","C","CHI",29,67,32,35,849.1,399
"261","Oshae Brissett","SF","IND",24,65,27,38,1083.2,398
"262","Gary Harris","SG","ORL",28,48,22,26,1184.4,397
"263","Jalen Johnson","SF","ATL",21,70,35,35,1041.6,395
"264","Cam Reddish","SF","POR",23,40,14,26,989.6,387
"265","Mark Williams","C","CHA",21,43,18,25,828,387
"266","John Wall","PG","LAC",32,34,15,19,754.7,386
"267","Mike Muscala","C","BOS",31,63,32,31,945.1,383
"268","Will Barton","G","TOR",32,56,27,29,993,379
"269","Edmond Sumner","PG","BKN",27,53,33,20,736.2,378
"270","Alex Caruso","SG","CHI",29,67,33,34,1575.4,374
"271","Josh Christopher","SG","HOU",21,64,16,48,786.2,372
"272","Wenyen Gabriel","F","LAL",26,68,37,31,1023.8,372
"273","Delon Wright","SG","WAS",31,50,26,24,1221.2,369
"274","JaMychal Green","F","GSW",32,57,30,27,796.7,366
"275","Goran Dragic","PG","MIL",36,58,27,31,870,365
"276","John Konchar","SG","MEM",27,72,45,27,1493.8,364
"277","Nickeil Alexander-Walker","SG","MIN",24,59,29,30,883.9,363
"278","Chris Duarte","SG","IND",25,46,19,27,897.2,362
"279","Dario Saric","PF","OKC",29,57,26,31,806,362
"280","Steven Adams","C","MEM",29,42,28,14,1133.3,361
"281","Christian Braun","G","DEN",22,76,49,27,1181.1,360
"282","Nassir Little","SF","POR",23,54,22,32,976.1,359
"283","Isaiah Livers","PF","DET",24,52,10,42,1198.7,346
"284","Landry Shamet","SG","PHX",26,40,19,21,806.9,346
"285","Lamar Stevens","F","CLE",25,62,39,23,1120.5,328
"286","Simone Fontecchio","F","UTA",27,52,25,27,765.8,328
"287","Mo Bamba","C","LAL",24,49,25,24,768.4,323
"288","Yuta Watanabe","SF","BKN",28,58,30,28,927.8,322
"289","Chimezie Metu","PF","SAC",26,66,41,25,689,321
"290","Montrezl Harrell","C","PHI",29,57,35,22,681.1,320
"291","Derrick Jones Jr.","SF","CHI",26,64,29,35,893.4,319
"292","Joe Ingles","SG","MIL",35,46,32,14,1043.5,317
"293","T.J. Warren","SF","PHX",29,42,26,16,686.7,314
"294","Ty Jerome","SG","GSW",25,45,22,23,815.6,309
"295","Moses Moody","SG","GSW",20,63,37,26,817.1,302
"296","R.J. Hampton","PG","DET",22,47,9,38,749.6,302
"297","Romeo Langford","SG","SAS",23,43,14,29,844.3,297
"298","Vlatko Cancar","SF","DEN",26,60,38,22,889,297
"299","Theo Maledon","PG","CHA",21,44,14,30,853.7,295
"300","Matisse Thybulle","SG","POR",26,71,38,33,1200.4,293
"301","Rudy Gay","SF","UTA",36,56,29,27,815.6,293
"302","Jeremiah Robinson-Earl","PF","OKC",22,43,16,27,813.7,292
"303","Ben Simmons","PG","BKN",26,42,24,18,1105,291
"304","Kris Dunn","G","UTA",29,22,8,14,567.5,290
"305","Jaylin Williams","F","OKC",20,49,23,26,914.2,288
"306","Robert Covington","PF","LAC",32,48,20,28,778.6,288
"307","Paul Reed","SF","PHI",23,69,44,25,755.2,287
"308","Jae'Sean Tate","SF","HOU",27,31,7,24,677.5,283
"309","Robert Williams III","C","BOS",25,35,24,11,823.5,279
"310","Eugene Omoruyi","F","DET",26,40,10,30,645.3,278
"311","Zeke Nnaji","PF","DEN",22,53,34,19,727.8,277
"312","Aleksej Pokusevski","F","OKC",21,34,16,18,701.3,276
"313","Payton Pritchard","PG","BOS",25,48,32,16,642.8,270
"314","Danuel House Jr.","SF","PHI",29,56,38,18,807,268
"315","Duncan Robinson","F","MIA",29,42,19,23,690.5,268
"316","MarJon Beauchamp","F","MIL",22,52,34,18,701.4,266
"317","P.J. Tucker","PF","PHI",37,75,48,27,1920.1,266
"318","Bismack Biyombo","C","PHX",30,61,33,28,874.1,263
"319","Sandro Mamukelashvili","PF","SAS",23,43,23,20,659.7,263
"320","JT Thor","F","CHA",20,69,22,47,968.8,262
"321","Willy Hernangomez","C","NOP",28,38,23,15,457.7,262
"322","Luke Kornet","C","BOS",27,69,45,24,804.1,261
"323","Garrison Mathews","SG","ATL",26,54,16,38,686.3,257
"324","Austin Rivers","SG","MIN",30,52,25,27,1016.3,255
"325","Ish Wainright","F","PHX",28,60,33,27,915.1,251
"326","Aaron Holiday","G","ATL",26,63,32,31,845.3,247
"327","Bryce McGowens","G","CHA",20,46,16,30,787,246
"328","Malachi Flynn","PG","TOR",24,53,29,24,690.8,246
"329","Patty Mills","PG","BKN",34,40,18,22,566.6,246
"330","Duane Washington Jr.","PG","NYK",23,31,17,14,393.8,244
"331","Thaddeus Young","PF","TOR",34,54,23,31,795.5,240
"332","Cade Cunningham","PG","DET",21,12,3,9,400.2,239
"333","Haywood Highsmith","F","MIA",26,54,28,26,969.4,236
"334","Jaxson Hayes","C","NOP",22,47,22,25,610.1,233
"335","George Hill","PG","IND",36,46,27,19,833.3,232
"336","Day'Ron Sharpe","C","BKN",21,48,22,26,552.5,227
"337","Dyson Daniels","G","NOP",20,59,33,26,1042.1,227
"338","Daishen Nix","SG","HOU",21,57,15,42,914.4,226
"339","Usman Garuba","PF","HOU",21,75,21,54,970.2,225
"340","Darius Bazley","PF","PHX",22,43,19,24,616.2,224
"341","Miles McBride","PG","NYK",22,64,36,28,760.2,222
"342","Svi Mykhailiuk","SG","CHA",25,32,16,16,467.9,222
"343","Maxi Kleber","PF","DAL",31,37,18,19,929.8,220
"344","Jabari Walker","F","POR",20,56,21,35,619.2,216
"345","Lindy Waters III","F","OKC",25,41,20,21,530.8,214
"346","Ziaire Williams","F","MEM",21,37,21,16,560.8,210
"347","Davis Bertans","SF","DAL",30,45,20,25,491.8,206
"348","Dean Wade","PF","CLE",26,44,30,14,891.6,206
"349","Justin Holiday","SF","DAL",34,46,18,28,706.1,205
"350","Charles Bassey","C","SAS",22,35,9,26,507.9,199
"351","DeAndre Jordan","C","DEN",34,39,23,16,585.9,199
"352","Dewayne Dedmon","C","PHI",33,38,23,15,426.2,199
"353","Justise Winslow","PF","POR",27,29,15,14,775.8,196
"354","Anthony Gill","PF","WAS",30,59,21,38,624.6,195
"355","Caleb Houstan","G","ORL",20,51,20,31,812.2,193
"356","Ousmane Dieng","F","OKC",19,39,20,19,568.7,193
"357","James Bouknight","SG","CHA",22,34,9,25,515.5,191
"358","Keon Johnson","SG","POR",21,40,13,27,416.4,189
"359","JaVale McGee","C","DAL",35,42,20,22,354.5,186
"360","Blake Wesley","G","SAS",20,37,9,28,669.1,184
"361","Rodney McGruder","G","DET",31,32,4,28,523.9,183
"362","Christian Koloko","C","TOR",22,58,29,29,801.8,182
"363","Luka Garza","C","MIN",24,28,15,13,243.4,181
"364","Wesley Matthews","SG","MIL",36,52,37,15,820.4,179
"365","Jericho Sims","C","NYK",24,52,31,21,812.4,178
"366","Stanley Johnson","SF","SAS",26,30,5,25,469.5,174
"367","Amir Coffey","SG","LAC",25,50,26,24,625.3,172
"368","Isaiah Roby","F","NYK",25,42,9,33,473.6,172
"369","Ricky Rubio","PG","CLE",32,33,23,10,566,171
"370","Blake Griffin","PF","BOS",34,41,27,14,568.9,170
"371","Taj Gibson","F","WAS",37,49,21,28,480.4,168
"372","Goga Bitadze","C","ORL",23,38,13,25,456.8,167
"373","Evan Fournier","SG","NYK",30,27,15,12,458.7,165
"374","Javonte Green","SF","CHI",29,32,13,19,480.3,165
"375","Julian Champagnie","F","SAS",21,17,7,10,320.1,165
"376","Johnny Davis","G","WAS",21,28,10,18,422.6,163
"377","Jordan McLaughlin","PG","MIN",27,43,22,21,678.5,161
"378","Kai Jones","PF","CHA",22,46,13,33,549.6,157
"379","Raul Neto","PG","CLE",30,48,31,17,505.2,157
"380","Admiral Schofield","SF","ORL",26,37,14,23,451.3,155
"381","Juan Toscano-Anderson","SF","UTA",30,52,19,33,700.1,155
"382","Moses Brown","C","BKN",23,36,17,19,294.1,155
"383","AJ Green","G","MIL",23,35,27,8,344.9,154
"384","Bruno Fernando","PF","ATL",24,39,13,26,405.1,153
"385","Derrick Rose","PG","NYK",34,27,12,15,337.9,152
"386","Saben Lee","G","PHX",23,25,15,10,373.5,151
"387","TyTy Washington Jr.","G","HOU",21,31,6,25,432.7,145
"388","Brandon Boston Jr.","SG","LAC",21,22,9,13,248.3,143
"389","Dalano Banton","PG","TOR",23,31,17,14,278.5,142
"390","Damian Jones","C","UTA",27,41,12,29,477.4,142
"391","Kevon Harris","G","ORL",25,34,12,22,457,141
"392","Furkan Korkmaz","SG","PHI",25,37,24,13,353.5,140
"393","Nathan Knight","F","MIN",25,38,19,19,290.7,139
"394","Frank Ntilikina","PG","DAL",24,47,20,27,607.6,135
"395","Markieff Morris","PF","DAL",33,35,17,18,355.1,132
"396","Richaun Holmes","F","SAC",29,42,22,20,347.6,130
"397","Chuma Okeke","PF","ORL",24,27,8,19,518,128
"398","Max Christie","G","LAL",20,41,19,22,512.4,128
"399","Udoka Azubuike","C","UTA",23,36,17,19,358.5,125
"400","Jae Crowder","PF","MIL",32,18,13,5,339.7,124
"401","Juancho Hernangomez","PF","TOR",27,42,20,22,613.5,122
"402","Matt Ryan","F","MIN",26,34,15,19,310.2,122
"403","Patrick Baldwin Jr.","F","GSW",20,31,15,16,225.8,122
"404","Gorgui Dieng","C","SAS",33,31,3,28,358.1,121
"405","Kenneth Lofton Jr.","F","MEM",20,24,15,9,176,120
"406","Orlando Robinson","C","MIA",22,31,18,13,425.1,116
"407","Kira Lewis Jr.","PG","NOP",22,25,11,14,234.8,114
"408","McKinley Wright IV","PG","DAL",24,27,14,13,335,114
"409","Robin Lopez","C","CLE",35,37,25,12,298.5,112
"410","Dominick Barlow","F","SAS",19,28,5,23,407.6,110
"411","Ish Smith","PG","DEN",34,43,25,18,397.9,108
